device_trail_id,start,count,battery
1,1767243600,0,100
1,1767247200,0,100
1,1767250800,0,100
1,1767254400,0,100
1,1767258000,0,100
1,1767261600,1,100
1,1767265200,2,100
1,1767268800,4,100
1,1767272400,4,100
1,1767276000,3,100
1,1767279600,4,100
1,1767283200,3,100
1,1767286800,2,100
1,1767290400,3,100
1,1767294000,3,100
1,1767297600,3,100
1,1767301200,5,100
1,1767304800,5,100
1,1767308400,5,100
1,1767312000,4,100
1,1767315600,3,100
1,1767319200,2,100
1,1767322800,2,100
1,1767326400,1,100
1,1767330000,1,99
1,1767333600,0,99
1,1767337200,0,99
1,1767340800,1,99
1,1767344400,1,99
1,1767348000,2,99
1,1767351600,3,99
1,1767355200,4,99
1,1767358800,5,99
1,1767362400,4,99
1,1767366000,4,99
1,1767369600,3,99
1,1767373200,4,99
1,1767376800,3,99
1,1767380400,4,99
1,1767384000,4,99
1,1767387600,6,99
1,1767391200,6,99
1,1767394800,6,99
1,1767398400,5,99
1,1767402000,3,99
1,1767405600,3,99
1,1767409200,2,99
1,1767412800,1,99
1,1767416400,2,98
1,1767420000,1,98
1,1767423600,1,98
1,1767427200,1,98
1,1767430800,1,98
1,1767434400,4,98
1,1767438000,8,98
1,1767441600,10,98
1,1767445200,13,98
1,1767448800,10,98
1,1767452400,9,98
1,1767456000,9,98
1,1767459600,8,98
1,1767463200,8,98
1,1767466800,9,98
1,1767470400,10,98
1,1767474000,13,98
1,1767477600,16,98
1,1767481200,14,98
1,1767484800,11,98
1,1767488400,9,98
1,1767492000,6,98
1,1767495600,5,98
1,1767499200,3,98
2,1767243600,0,100
2,1767247200,1,100
2,1767250800,0,100
2,1767254400,1,100
2,1767258000,0,100
2,1767261600,1,100
2,1767265200,2,100
2,1767268800,3,100
2,1767272400,3,100
2,1767276000,3,100
2,1767279600,2,100
2,1767283200,2,100
2,1767286800,2,100
2,1767290400,2,100
2,1767294000,3,100
2,1767297600,2,100
2,1767301200,3,100
2,1767304800,4,100
2,1767308400,3,100
2,1767312000,3,100
2,1767315600,2,100
2,1767319200,2,100
2,1767322800,1,100
2,1767326400,1,100
2,1767330000,0,100
2,1767333600,0,100
2,1767337200,0,100
2,1767340800,1,100
2,1767344400,0,100
2,1767348000,1,100
2,1767351600,2,100
2,1767355200,3,100
2,1767358800,3,100
2,1767362400,3,100
2,1767366000,2,100
2,1767369600,3,100
2,1767373200,2,100
2,1767376800,2,100
2,1767380400,3,100
2,1767384000,3,100
2,1767387600,3,100
2,1767391200,4,100
2,1767394800,4,100
2,1767398400,3,100
2,1767402000,2,100
2,1767405600,2,100
2,1767409200,1,100
2,1767412800,1,100
2,1767416400,0,100
2,1767420000,1,100
2,1767423600,0,100
2,1767427200,0,100
2,1767430800,0,100
2,1767434400,1,100
2,1767438000,3,100
2,1767441600,4,100
2,1767445200,5,100
2,1767448800,4,100
2,1767452400,4,100
2,1767456000,3,100
2,1767459600,4,100
2,1767463200,4,100
2,1767466800,4,100
2,1767470400,5,100
2,1767474000,5,100
2,1767477600,7,100
2,1767481200,6,100
2,1767484800,4,100
2,1767488400,4,100
2,1767492000,3,100
2,1767495600,2,100
2,1767499200,1,100
3,1767243600,0,99
3,1767247200,0,99
3,1767250800,0,99
3,1767254400,0,99
3,1767258000,0,99
3,1767261600,0,99
3,1767265200,1,99
3,1767268800,2,99
3,1767272400,1,99
3,1767276000,1,99
3,1767279600,1,99
3,1767283200,1,99
3,1767286800,1,99
3,1767290400,1,99
3,1767294000,1,99
3,1767297600,1,99
3,1767301200,2,99
3,1767304800,2,99
3,1767308400,2,99
3,1767312000,1,99
3,1767315600,1,99
3,1767319200,1,99
3,1767322800,1,99
3,1767326400,0,99
3,1767330000,1,99
3,1767333600,0,99
3,1767337200,0,99
3,1767340800,0,99
3,1767344400,0,99
3,1767348000,0,99
3,1767351600,2,99
3,1767355200,1,99
3,1767358800,2,99
3,1767362400,1,99
3,1767366000,1,99
3,1767369600,2,99
3,1767373200,1,99
3,1767376800,1,99
3,1767380400,2,99
3,1767384000,2,99
3,1767387600,2,99
3,1767391200,2,99
3,1767394800,2,99
3,1767398400,2,99
3,1767402000,1,99
3,1767405600,1,99
3,1767409200,1,99
3,1767412800,0,99
3,1767416400,1,99
3,1767420000,0,99
3,1767423600,0,99
3,1767427200,1,99
3,1767430800,0,99
3,1767434400,1,99
3,1767438000,2,99
3,1767441600,4,99
3,1767445200,4,99
3,1767448800,4,99
3,1767452400,3,99
3,1767456000,2,99
3,1767459600,2,99
3,1767463200,3,99
3,1767466800,3,99
3,1767470400,3,99
3,1767474000,4,99
3,1767477600,5,99
3,1767481200,4,99
3,1767484800,3,99
3,1767488400,3,99
3,1767492000,2,99
3,1767495600,1,99
3,1767499200,1,99
4,1767243600,1,99
4,1767247200,0,99
4,1767250800,0,99
4,1767254400,0,99
